OPERADORA_PAIS,Date,Population
CR,2022-11,5180829
CR,2022-12,5180829
CR,2023-01,5212173
CR,2023-02,5212173
CR,2023-03,5212173
CR,2023-04,5212173
CR,2023-05,5212173
CR,2023-06,5212173
CR,2023-07,5212173
CR,2023-08,5212173
CR,2023-09,5212173
CR,2023-10,5212173
CR,2023-11,5212173
CR,2023-12,5212173
EC,2018-01,17015672
EC,2018-02,17015672
EC,2018-03,17015672
EC,2018-04,17015672
EC,2018-05,17015672
EC,2018-06,17015672
EC,2018-07,17015672
EC,2018-08,17015672
EC,2018-09,17015672
EC,2018-10,17015672
EC,2018-11,17015672
EC,2018-12,17015672
EC,2019-01,17343741
EC,2019-02,17343741
EC,2019-03,17343741
EC,2019-04,17343741
EC,2019-05,17343741
EC,2019-06,17343741
EC,2019-07,17343741
EC,2019-08,17343741
EC,2019-09,17343741
EC,2019-10,17343741
EC,2019-11,17343741
EC,2019-12,17343741
EC,2020-01,17588596
EC,2020-02,17588596
EC,2020-03,17588596
EC,2020-04,17588596
EC,2020-05,17588596
EC,2020-06,17588596
EC,2020-07,17588596
EC,2020-08,17588596
EC,2020-09,17588596
EC,2020-10,17588596
EC,2020-11,17588596
EC,2020-12,17588596
EC,2021-01,17797737
EC,2021-02,17797737
EC,2021-03,17797737
EC,2021-04,17797737
EC,2021-05,17797737
EC,2021-06,17797737
EC,2021-07,17797737
EC,2021-08,17797737
EC,2021-09,17797737
EC,2021-10,17797737
EC,2021-11,17797737
EC,2021-12,17797737
EC,2022-01,18001000
EC,2022-02,18001000
EC,2022-03,18001000
EC,2022-04,18001000
EC,2022-05,18001000
EC,2022-06,18001000
EC,2022-07,18001000
EC,2022-08,18001000
EC,2022-09,18001000
EC,2022-10,18001000
EC,2022-11,18001000
EC,2022-12,18001000
EC,2023-01,18190484
EC,2023-02,18190484
EC,2023-03,18190484
EC,2023-04,18190484
EC,2023-05,18190484
EC,2023-06,18190484
EC,2023-07,18190484
EC,2023-08,18190484
EC,2023-09,18190484
EC,2023-10,18190484
EC,2023-11,18190484
EC,2023-12,18190484
SV,2018-01,6276343
SV,2018-02,6276343
SV,2018-03,6276343
SV,2018-04,6276343
SV,2018-05,6276343
SV,2018-06,6276343
SV,2018-07,6276343
SV,2018-08,6276343
SV,2018-09,6276343
SV,2018-10,6276343
SV,2018-11,6276343
SV,2018-12,6276343
SV,2019-01,6280217
SV,2019-02,6280217
SV,2019-03,6280217
SV,2019-04,6280217
SV,2019-05,6280217
SV,2019-06,6280217
SV,2019-07,6280217
SV,2019-08,6280217
SV,2019-09,6280217
SV,2019-10,6280217
SV,2019-11,6280217
SV,2019-12,6280217
SV,2020-01,6292731
SV,2020-02,6292731
SV,2020-03,6292731
SV,2020-04,6292731
SV,2020-05,6292731
SV,2020-06,6292731
SV,2020-07,6292731
SV,2020-08,6292731
SV,2020-09,6292731
SV,2020-10,6292731
SV,2020-11,6292731
SV,2020-12,6292731
SV,2021-01,6314168
SV,2021-02,6314168
SV,2021-03,6314168
SV,2021-04,6314168
SV,2021-05,6314168
SV,2021-06,6314168
SV,2021-07,6314168
SV,2021-08,6314168
SV,2021-09,6314168
SV,2021-10,6314168
SV,2021-11,6314168
SV,2021-12,6314168
SV,2022-01,6336392
SV,2022-02,6336392
SV,2022-03,6336392
SV,2022-04,6336392
SV,2022-05,6336392
SV,2022-06,6336392
SV,2022-07,6336392
SV,2022-08,6336392
SV,2022-09,6336392
SV,2022-10,6336392
SV,2022-11,6336392
SV,2022-12,6336392
SV,2023-01,6364943
SV,2023-02,6364943
SV,2023-03,6364943
SV,2023-04,6364943
SV,2023-05,6364943
SV,2023-06,6364943
SV,2023-07,6364943
SV,2023-08,6364943
SV,2023-09,6364943
SV,2023-10,6364943
SV,2023-11,6364943
SV,2023-12,6364943
DE,2018-01,82896696
DE,2018-02,82896696
DE,2018-03,82896696
DE,2018-04,82896696
DE,2018-05,82896696
DE,2018-06,82896696
DE,2018-07,82896696
DE,2018-08,82896696
DE,2018-09,82896696
DE,2018-10,82896696
DE,2018-11,82896696
DE,2018-12,82896696
DE,2019-01,83148141
DE,2019-02,83148141
DE,2019-03,83148141
DE,2019-04,83148141
DE,2019-05,83148141
DE,2019-06,83148141
DE,2019-07,83148141
DE,2019-08,83148141
DE,2019-09,83148141
DE,2019-10,83148141
DE,2019-11,83148141
DE,2019-12,83148141
DE,2020-01,83328988
DE,2020-02,83328988
DE,2020-03,83328988
DE,2020-04,83328988
DE,2020-05,83328988
